Category,Details
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","UC Berkeley - Haas School of Business"
"University","UC Berkeley - Haas School of Business"
"Location","USA"
"Program","MSc Marketing"
"Intake","September"
"Duration","15 Months"
"Tuition Fees","USD 53,757"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","698"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","320"
"Class Profile - Average GPA","3.44"
"Class Profile - Average GMAT Score","710"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.uc.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$91997"
"Employment Statistics - Finance","$92181"
"Employment Statistics - Marketing","$101588"
"Employment Statistics - Information Technology","$110414"
"Employment Statistics - Average Salary (in $)","$99045"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","552%"
"Deadlines","Round 1: October 2, Round 2: January 9, Round 3: March 4"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","USA"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","15 Months"
"Tuition Fees","USD 50,829"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","709"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","322"
"Class Profile - Average GPA","3.63"
"Class Profile - Average GMAT Score","707"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.columbia.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$116361"
"Employment Statistics - Finance","$114110"
"Employment Statistics - Marketing","$95142"
"Employment Statistics - Information Technology","$115849"
"Employment Statistics - Average Salary (in $)","$110365"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","651%"
"Deadlines","Round 1: October 1, Round 2: January 6, Round 3: March 2"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Columbia Business School. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Carnegie Mellon University - Tepper School of Business"
"University","Carnegie Mellon University - Tepper School of Business"
"Location","USA"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","12 Months"
"Tuition Fees","USD 41,497"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","715"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.carnegie.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","321"
"Class Profile - Average GPA","3.32"
"Class Profile - Average GMAT Score","706"
"Class Profile - Average Age","26"
"Class Profile URL","https://www.carnegie.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$81364"
"Employment Statistics - Finance","$90352"
"Employment Statistics - Marketing","$96851"
"Employment Statistics - Information Technology","$91931"
"Employment Statistics - Average Salary (in $)","$90124"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","651%"
"Deadlines","Round 1: October 7, Round 2: January 14, Round 3: March 1"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Carnegie Mellon University - Tepper School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","NYU - Stern School of Business"
"University","NYU - Stern School of Business"
"Location","USA"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","15 Months"
"Tuition Fees","USD 47,510"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","691"
"Recommended Scores - Recommended GRE","393"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.nyu.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","316"
"Class Profile - Average GPA","3.98"
"Class Profile - Average GMAT Score","704"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.nyu.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$83069"
"Employment Statistics - Finance","$111219"
"Employment Statistics - Marketing","$108398"
"Employment Statistics - Information Technology","$112705"
"Employment Statistics - Average Salary (in $)","$103847"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","655%"
"Deadlines","Round 1: October 10, Round 2: January 1, Round 3: March 6"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at NYU - Stern School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Northwestern University - Kellogg School of Management"
"University","Northwestern University - Kellogg School of Management"
"Location","USA"
"Program","MSc Marketing"
"Intake","September"
"Duration","16 Months"
"Tuition Fees","USD 54,534"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","702"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.northwestern.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","316"
"Class Profile - Average GPA","3.69"
"Class Profile - Average GMAT Score","704"
"Class Profile - Average Age","26"
"Class Profile URL","https://www.northwestern.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$102240"
"Employment Statistics - Finance","$87696"
"Employment Statistics - Marketing","$92560"
"Employment Statistics - Information Technology","$129361"
"Employment Statistics - Average Salary (in $)","$102964"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","566%"
"Deadlines","Round 1: October 12, Round 2: January 10, Round 3: March 5"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Northwestern University - Kellogg School of Management. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Harvard University"
"University","Harvard University"
"Location","USA"
"Program","MSBA"
"Intake","Fall"
"Duration","10 Months"
"Tuition Fees","USD 64,459"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","710"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","320"
"Class Profile - Average GPA","3.61"
"Class Profile - Average GMAT Score","726"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.harvard.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$116306"
"Employment Statistics - Finance","$97190"
"Employment Statistics - Marketing","$77675"
"Employment Statistics - Information Technology","$105447"
"Employment Statistics - Average Salary (in $)","$99154"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","461%"
"Deadlines","Round 1: October 6, Round 2: January 15, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSBA at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
